n0,c0,s0,n1,c1,s1,n2,c2,s2
370,372,372,370,372,372,372,372,372
371,383,383,371,383,383,373,384,384
372,384,384,372,384,384,374,374,374
373,374,374,373,374,374,375,373,373
374,373,373,374,373,373,376,382,382
375,371,371,375,371,371,377,375,375
376,382,382,376,382,382,379,379,379
379,375,375,377,375,375,381,376,376
380,380,380,379,379,379,382,381,381
381,379,379,381,376,376,384,377,377
382,376,376,382,381,381,217,217,217
383,381,381,383,370,370,182,182,182
384,370,370,384,377,377,347,348,348
353,362,362,345,351,351,348,349,349
355,368,368,346,347,347,349,352,352
357,366,366,347,345,345,351,351,351
358,367,367,351,346,346,352,347,347
360,369,369,102,174,174,102,176,176
361,365,365,103,179,179,103,131,131
362,358,358,104,180,180,104,177,177
363,355,355,105,162,162,105,127,127
364,357,357,106,161,161,106,172,172
365,353,353,113,164,164,107,173,173
366,8,8,148,163,163,110,170,170
367,6,6,149,160,160,112,174,174
368,7,7,150,158,158,113,175,175
369,4,4,151,159,159,125,169,169
0,5,5,152,153,153,127,179,179
1,9,9,153,157,157,131,125,125
2,3,3,154,156,156,141,178,178
3,2,2,155,155,155,142,165,165
4,0,0,156,154,154,143,168,168
5,1,1,157,149,149,144,171,171
6,82,82,158,150,150,145,180,180
7,92,92,159,152,152,146,142,142
8,93,93,160,151,151,147,167,167
9,94,94,161,148,148,148,166,166
10,95,95,162,104,104,149,143,143
11,81,81,163,105,105,150,162,162
12,80,80,164,106,106,151,161,161
13,79,79,174,103,103,152,164,164
14,77,77,179,102,102,153,145,145
15,78,78,180,113,113,154,163,163
16,75,75,358,360,360,155,160,160
17,74,74,359,359,359,156,158,158
19,76,76,360,361,361,157,146,146
20,91,91,361,363,363,158,159,159
21,98,98,362,364,364,159,153,153
22,96,96,363,362,362,160,144,144
23,97,97,364,368,368,161,157,157
24,101,101,365,366,366,162,156,156
25,88,88,366,367,367,163,155,155
26,50,50,367,369,369,164,141,141
27,89,89,368,365,365,165,154,154
28,90,90,369,358,358,166,149,149
30,83,83,0,19,19,167,150,150
31,87,87,1,24,24,168,147,147
33,84,84,2,25,25,169,152,152
34,86,86,3,23,23,170,151,151
35,99,99,4,27,27,171,148,148
36,85,85,5,28,28,172,104,104
37,55,55,6,13,13,173,105,105
47,56,56,7,20,20,174,106,106
48,100,100,8,21,21,175,103,103
49,53,53,9,26,26,176,107,107
50,54,54,10,14,14,177,110,110
51,52,52,11,31,31,178,102,102
52,51,51,12,29,29,179,112,112
53,71,71,13,22,22,180,113,113
54,72,72,14,15,15,358,360,360
55,,,15,30,30,359,359,359
56,,,16,49,49,360,361,361
58,,,17,32,32,361,363,363
59,,,18,36,36,362,364,364
60,,,19,33,33,363,362,362
61,,,20,47,47,364,366,366
62,,,21,48,48,365,367,367
63,,,22,35,35,366,369,369
64,,,23,39,39,367,365,365
65,,,24,34,34,369,358,358
66,,,25,37,37,0,19,19
67,,,26,18,18,1,24,24
68,,,27,40,40,2,25,25
69,,,28,38,38,3,23,23
70,,,29,41,41,4,27,27
71,,,30,44,44,5,28,28
72,,,31,43,43,6,13,13
73,,,32,42,42,7,20,20
74,,,33,45,45,8,21,21
75,,,34,46,46,9,26,26
76,,,35,16,16,10,14,14
77,,,36,17,17,11,31,31
78,,,37,10,10,12,29,29
79,,,38,11,11,13,22,22
80,,,39,12,12,14,15,15
81,,,40,8,8,15,30,30
82,,,41,6,6,16,49,49
83,,,42,7,7,17,32,32
84,,,43,4,4,18,36,36
85,,,44,5,5,19,33,33
86,,,45,9,9,20,47,47
87,,,46,3,3,21,48,48
88,,,47,2,2,22,35,35
89,,,48,0,0,23,39,39
90,,,49,1,1,24,34,34
91,,,51,82,82,25,37,37
92,,,52,92,92,26,18,18
93,,,53,93,93,27,40,40
94,,,54,94,94,28,38,38
95,,,55,95,95,29,41,41
96,,,56,81,81,30,44,44
97,,,57,80,80,31,43,43
98,,,58,79,79,32,42,42
99,,,59,77,77,33,45,45
100,,,60,78,78,34,46,46
101,,,61,75,75,35,16,16
,,,62,74,74,36,17,17
,,,63,76,76,37,10,10
,,,64,91,91,38,11,11
,,,65,98,98,39,12,12
,,,66,97,97,40,8,8
,,,67,88,88,41,6,6
,,,68,89,89,42,7,7
,,,69,90,90,43,4,4
,,,70,83,83,44,5,5
,,,71,87,87,45,9,9
,,,72,84,84,46,3,3
,,,73,86,86,47,2,2
,,,74,99,99,48,0,0
,,,75,85,85,49,1,1
,,,76,55,55,51,82,82
,,,77,56,56,52,92,92
,,,78,100,100,53,93,93
,,,79,53,53,54,94,94
,,,80,54,54,55,95,95
,,,81,57,57,56,81,81
,,,82,52,52,57,80,80
,,,83,51,51,58,79,79
,,,84,71,71,59,77,77
,,,85,72,72,60,78,78
,,,86,63,63,61,75,75
,,,87,58,58,62,74,74
,,,88,70,70,63,76,76
,,,89,64,64,64,88,88
,,,90,65,65,65,89,89
,,,91,66,66,66,90,90
,,,92,59,59,67,83,83
,,,93,61,61,68,87,87
,,,94,67,67,69,84,84
,,,95,73,73,70,86,86
,,,97,69,69,71,99,99
,,,98,60,60,72,85,85
,,,99,62,62,73,55,55
,,,100,68,68,74,56,56
,,,,,,75,100,100
,,,,,,76,53,53
,,,,,,77,54,54
,,,,,,78,57,57
,,,,,,79,52,52
,,,,,,80,51,51
,,,,,,81,71,71
,,,,,,82,72,72
,,,,,,83,63,63
,,,,,,84,58,58
,,,,,,85,70,70
,,,,,,86,64,64
,,,,,,87,65,65
,,,,,,88,66,66
,,,,,,89,59,59
,,,,,,90,61,61
,,,,,,92,67,67
,,,,,,93,73,73
,,,,,,94,69,69
,,,,,,95,60,60
,,,,,,99,62,62
,,,,,,100,68,68